text,label
Nie masz pojęcia o czym mówisz.,1
Jesteś bezużyteczny jak dziura w wiadrze.,1
Lepiej zamknij się na zawsze.,1
Masz poziom intelektu ameby.,1
Wkurwiasz mnie swoim istnieniem.,1
"Twoje pomysły są tak głupie, że aż boli.",1
"Nikt Cię nie lubi, idź stąd.",1
"Jesteś jak wirus, tylko szkodzisz.",1
Czy Ty masz w ogóle jakieś IQ?,1
Jak można być tak cholernie głupim?,1
Nikt nie chce słuchać Twoich bredni.,1
"Totalna kompromitacja, jak zwykle.",1
Twój poziom żenady przekroczył granice.,1
"Wszyscy wiedzą, że jesteś nikim.",1
"Skończ pieprzyć głupoty, pajacu.",1
Nie umiesz nawet mówić z sensem.,1
Twoja obecność mnie irytuje.,1
Jesteś beznadziejny we wszystkim.,1
"Człowieku, nawet się nie ośmieszaj.",1
Twój brak inteligencji poraża.,1
"Przestań bredzić, bo szkoda słów.",1
Nie masz nic mądrego do powiedzenia.,1
Twoje słowa są jak bełkot pijanego.,1
Lepszy byłby świat bez takich jak Ty.,1
Twoja opinia jest bezwartościowa.,1
Jesteś żałosnym nieudacznikiem.,1
Jak można być tak tępy?,1
"Jesteś żartem, nie człowiekiem.",1
"Idź się ogarnij, bo aż wstyd.",1
Co za kretyński pomysł!,1
Z taką głupotą daleko nie zajdziesz.,1
Jak można być tak wielkim idiotą?,1
"Mega czysta toaleta, serio sztos!", 0  
"Super zapach, jak w jakimś luksusowym hotelu!", 0  
"Wszystko git, pachnie ładnie i jest mydło, mega!", 0  
"Toaleta sztosiwo, wchodzisz i czujesz się jak VIP.", 0  
"No powiem Ci, że ta kibelkowa strefa to złoto!", 0  
"Nie spodziewałem się, że będzie tak dobrze, totalny sztos.", 0  
"Wszystko dopięte na ostatni guzik, mega spoko.", 0  
"Toaleta wymiata, jest nawet ciepła woda, mega pozytyw!", 0  
"Wchodzisz i masz wrażenie, że to łazienka w pięciogwiazdkowym hotelu.", 0  
"Czysto, pachnąco, zero kolejek – no serio nie mam się do czego przyczepić!", 0  
"Wszystko działa jak złoto, spłuczka chodzi jak w zegarku!", 0  
"Mega przestronnie, nie czujesz się jak sardynka w puszce.", 0  
"Nawet muzyczka w tle leci, serio full serwis!", 0  
"Toaleta lepsza niż w moim domu, hit!", 0  
"No bez kitu, wchodzisz i nie chcesz wychodzić.", 0  
"Jest wszystko: mydło, papier, zapach – czego chcieć więcej?", 0  
"Mega komfort, na luzie można się odprężyć.", 0  
"Oświetlenie na poziomie, czujesz się jak w jakimś fancy klubie.", 0  
"Przestronnie, czysto, luksusowo – no serio top.", 0  
"Nie ma śladu po poprzednich użytkownikach, szanuję mocno!", 0  
"No powiem Wam, że jak na publiczną toaletę, to jest naprawdę elegancko.", 0  
"Toaleta petarda, normalnie jak VIP room.", 0  
"Luksusowe mydło i pachnące ręczniki, no klasa.", 0  
"Spokojnie można tu spędzić więcej czasu niż na Instagramie.", 0  
"Wszystko działa, nic się nie zacina, czysta perfekcja.", 0  
"Jak na toaletę publiczną to sztosik, naprawdę bez przypału.", 0  
"Spoko klimat, dobrze wentylowane, żadnych smrodków.", 0  
"Obsługa robi robotę, widać że sprzątają na bieżąco.", 0  
"Wchodzisz i od razu czujesz, że to jest miejsce premium.", 0  
"Mogłaby konkurować z najlepszymi toaletami w galeriach.", 0  
"Lśniąca podłoga, błyszczące krany – wow!", 0  
"Mydło w zapachu kokosowym, serio premium level.", 0  
"Jest tak czysto, że aż się człowiek czuje nieswojo.", 0  
"Szanuję, że dbają o ten poziom czystości, to rzadkość!", 0  
"Nawet kabiny są przestronne, można się swobodnie poruszać.", 0  
"Po prostu niebo dla ludzi ceniących czystość.", 0  
"Nawet muzyka w tle sprawia, że korzystanie jest przyjemne.", 0  
"Nie ma śladów po poprzednich gościach – pełen respekt.", 0  
"Toaleta z klimatem, normalnie level premium!", 0  
"Zapachy jak w perfumerii, no kurde pięknie!", 0  
"Nie trzeba niczego dotykać, wszystko na sensorach – wow!", 0  
"Najlepsza toaleta, w jakiej byłem, zero przypału!", 0  
"Wszystko świeżutkie, jakby dopiero co otwarte, mega propsy!", 0  
"Luksus pełną gębą, aż chciałoby się tu mieszkać.", 0  
"Totalny top jeśli chodzi o publiczne toalety!", 0  
"Nie wiem, kto to sprząta, ale należy mu się medal!", 0  
"Toaleta jak z bajki, pachnie i wygląda idealnie.", 0  
"Czystość na poziomie, lepiej niż w moim mieszkaniu.", 0  

"Kurwa, co za jebane szambo, jebie jak w chlewie!", 1  
"Totalna porażka, jebane gówno na podłodze!", 1  
"Ja pierdolę, czy tu nikt nigdy nie sprząta?", 1  
"Jebana patologia, wszędzie mocz i brak papieru!", 1  
"Kibel jak z horroru, jebane średniowiecze!", 1  
"Mega syf, jebana melina, ściany upierdolone gównem!", 1  
"Ja pierdolę, jebie tak, że aż oczy łzawią!", 1  
"Jebany dramat, kurwa, brak spłuczki i smród jak w oborze!", 1  
"Nie wierzę, jebane gówno na desce, serio?", 1  
"Totalny burdel, jebane ściany obsikane na złoto!", 1  
"Jak można tak zjebać toaletę, jebane dno!", 1  
"Kurwa, wszędzie sraka, kto tu, kurwa, srał?", 1  
"Pierdolona katastrofa, lepiej nasrać w lesie!", 1  
"Nie da się tu oddychać, jebany gaz bojowy!", 1  
"Kurwa, jebie tu jak z rynsztoka!", 1  
"Toaleta dla pojebanych, serio, dramat!", 1  
"Czysty pierdolony horror, jebana jaskinia gówna!", 1  
"No serio, jebany brak higieny, dramat na maxa!", 1  
"Wchodzisz i jebie cię w twarz fala gówna!", 1  
"Jebana tragedia, jebie jakby ktoś tu zdechł!", 1  
"Smród na poziomie jebanego wysypiska!", 1  
"Obsługa ma to w dupie, jebane olewactwo!", 1  
"Gówniana organizacja, lepiej iść na dwór!", 1  
"Jebana toaleta dla trolli, pierdolony burdel!", 1  
"Mega porażka, jebana katastrofa w świecie kibli!", 1  
"Nie wiem, kto tu był ostatni, ale jebaniec z piekła rodem!", 1  
"Kurwa, co za dramat, wszędzie obsrane ściany!", 1  
"Sztos tylko dla ludzi bez nosa, jebie jak skunks!", 1  
"Totalny pierdolnik, co za jebana masakra!", 1  
"Gówniane ślady jak po jebanym tornadzie!", 1  
"Jebana tragedia, nie polecam nikomu!", 1  
"Toaleta jak jebane pole minowe, dramat!", 1  
"Czysty jebany burdel, nikt tu nie sprząta!", 1  
"Jebane zapachy jak w jebanym śmietniku!", 1  
"Mega przypał, wchodzisz i od razu chcesz spierdalać!", 1  
"Jebana męka, siedzieć tu to jak kara!", 1  
"Wchodzisz i masz ochotę jebnąć w tył zwrot!", 1  
"Nie wiem, kto to sprząta, ale jebaniec to leniuch!", 1  
"Kurwa, to jest jebane pole walki, wszędzie gówno!", 1  
"Jebana tragedia, lepiej zesrać się w krzakach!", 1  
"Jebie na kilometr, jakby ktoś tu, kurwa, umarł!", 1  
"Gorszy syf niż w jebanej melinie!", 1  
"Co za jebana katastrofa, pierdolona dzicz!", 1  
"Kurwa, to jest jebany cyrk, nie toaleta!", 1  
"Jebany syf, kurwa, kto tu ostatni był?", 1  
"Mega czysta toaleta, serio sztos!", 0  
"Super zapach, jak w jakimś luksusowym hotelu!", 0  
"Wszystko git, pachnie ładnie i jest mydło, mega!", 0  
"Toaleta sztosiwo, wchodzisz i czujesz się jak VIP.", 0  
"No powiem Ci, że ta kibelkowa strefa to złoto!", 0  
"Nie spodziewałem się, że będzie tak dobrze, totalny sztos.", 0  
"Wszystko dopięte na ostatni guzik, mega spoko.", 0  
"Toaleta wymiata, jest nawet ciepła woda, mega pozytyw!", 0  
"Wchodzisz i masz wrażenie, że to łazienka w pięciogwiazdkowym hotelu.", 0  
"Czysto, pachnąco, zero kolejek – no serio nie mam się do czego przyczepić!", 0  
"Wszystko działa jak złoto, spłuczka chodzi jak w zegarku!", 0  
"Mega przestronnie, nie czujesz się jak sardynka w puszce.", 0  
"Nawet muzyczka w tle leci, serio full serwis!", 0  
"Toaleta lepsza niż w moim domu, hit!", 0  
"No bez kitu, wchodzisz i nie chcesz wychodzić.", 0  
"Jest wszystko: mydło, papier, zapach – czego chcieć więcej?", 0  
"Mega komfort, na luzie można się odprężyć.", 0  
"Oświetlenie na poziomie, czujesz się jak w jakimś fancy klubie.", 0  
"Przestronnie, czysto, luksusowo – no serio top.", 0  
"Nie ma śladu po poprzednich użytkownikach, szanuję mocno!", 0  
"No powiem Wam, że jak na publiczną toaletę, to jest naprawdę elegancko.", 0  
"Toaleta petarda, normalnie jak VIP room.", 0  
"Luksusowe mydło i pachnące ręczniki, no klasa.", 0  
"Spokojnie można tu spędzić więcej czasu niż na Instagramie.", 0  
"Wszystko działa, nic się nie zacina, czysta perfekcja.", 0  
"Jak na toaletę publiczną to sztosik, naprawdę bez przypału.", 0  
"Spoko klimat, dobrze wentylowane, żadnych smrodków.", 0  
"Obsługa robi robotę, widać że sprzątają na bieżąco.", 0  
"Wchodzisz i od razu czujesz, że to jest miejsce premium.", 0  
"Mogłaby konkurować z najlepszymi toaletami w galeriach.", 0  
"Lśniąca podłoga, błyszczące krany – wow!", 0  
"Mydło w zapachu kokosowym, serio premium level.", 0  
"Jest tak czysto, że aż się człowiek czuje nieswojo.", 0  
"Szanuję, że dbają o ten poziom czystości, to rzadkość!", 0  
"Nawet kabiny są przestronne, można się swobodnie poruszać.", 0  
"Po prostu niebo dla ludzi ceniących czystość.", 0  
"Nawet muzyka w tle sprawia, że korzystanie jest przyjemne.", 0  
"Nie ma śladów po poprzednich gościach – pełen respekt.", 0  
"Toaleta z klimatem, normalnie level premium!", 0  
"Zapachy jak w perfumerii, no kurde pięknie!", 0  
"Nie trzeba niczego dotykać, wszystko na sensorach – wow!", 0  
"Najlepsza toaleta, w jakiej byłem, zero przypału!", 0  
"Wszystko świeżutkie, jakby dopiero co otwarte, mega propsy!", 0  
"Luksus pełną gębą, aż chciałoby się tu mieszkać.", 0  
"Totalny top jeśli chodzi o publiczne toalety!", 0  
"Nie wiem, kto to sprząta, ale należy mu się medal!", 0  
"Toaleta jak z bajki, pachnie i wygląda idealnie.", 0  
"Czystość na poziomie, lepiej niż w moim mieszkaniu.", 0  

"Kurwa, co za jebane szambo, jebie jak w chlewie!", 1  
"Totalna porażka, jebane gówno na podłodze!", 1  
"Ja pierdolę, czy tu nikt nigdy nie sprząta?", 1  
"Jebana patologia, wszędzie mocz i brak papieru!", 1  
"Kibel jak z horroru, jebane średniowiecze!", 1  
"Mega syf, jebana melina, ściany upierdolone gównem!", 1  
"Ja pierdolę, jebie tak, że aż oczy łzawią!", 1  
"Jebany dramat, kurwa, brak spłuczki i smród jak w oborze!", 1  
"Nie wierzę, jebane gówno na desce, serio?", 1  
"Totalny burdel, jebane ściany obsikane na złoto!", 1  
"Jak można tak zjebać toaletę, jebane dno!", 1  
"Kurwa, wszędzie sraka, kto tu, kurwa, srał?", 1  
"Pierdolona katastrofa, lepiej nasrać w lesie!", 1  
"Nie da się tu oddychać, jebany gaz bojowy!", 1  
"Kurwa, jebie tu jak z rynsztoka!", 1  
"Toaleta dla pojebanych, serio, dramat!", 1  
"Czysty pierdolony horror, jebana jaskinia gówna!", 1  
"No serio, jebany brak higieny, dramat na maxa!", 1  
"Wchodzisz i jebie cię w twarz fala gówna!", 1  
"Jebana tragedia, jebie jakby ktoś tu zdechł!", 1  
"Smród na poziomie jebanego wysypiska!", 1  
"Obsługa ma to w dupie, jebane olewactwo!", 1  
"Gówniana organizacja, lepiej iść na dwór!", 1  
"Jebana toaleta dla trolli, pierdolony burdel!", 1  
"Mega porażka, jebana katastrofa w świecie kibli!", 1  
"Nie wiem, kto tu był ostatni, ale jebaniec z piekła rodem!", 1  
"Kurwa, co za dramat, wszędzie obsrane ściany!", 1  
"Sztos tylko dla ludzi bez nosa, jebie jak skunks!", 1  
"Totalny pierdolnik, co za jebana masakra!", 1  
"Gówniane ślady jak po jebanym tornadzie!", 1  
"Jebana tragedia, nie polecam nikomu!", 1  
"Toaleta jak jebane pole minowe, dramat!", 1  
"Czysty jebany burdel, nikt tu nie sprząta!", 1  
"Jebane zapachy jak w jebanym śmietniku!", 1  
"Mega przypał, wchodzisz i od razu chcesz spierdalać!", 1  
"Jebana męka, siedzieć tu to jak kara!", 1  
"Wchodzisz i masz ochotę jebnąć w tył zwrot!", 1  
"Nie wiem, kto to sprząta, ale jebaniec to leniuch!", 1  
"Kurwa, to jest jebane pole walki, wszędzie gówno!", 1  
"Jebana tragedia, lepiej zesrać się w krzakach!", 1  
"Jebie na kilometr, jakby ktoś tu, kurwa, umarł!", 1  
"Gorszy syf niż w jebanej melinie!", 1  
"Co za jebana katastrofa, pierdolona dzicz!", 1  
"Kurwa, to jest jebany cyrk, nie toaleta!", 1  
"Jebany syf, kurwa, kto tu ostatni był?", 1  
"Nawet muzyka w tle sprawia, że korzystanie jest przyjemne.", 0
"Toaleta dla pojebanych, serio, dramat!", 1
"Wchodzisz i masz wrażenie, że to łazienka w pięciogwiazdkowym hotelu.", 0
"Totalny burdel, jebane ściany obsikane na złoto!", 1
"Obsługa robi robotę, widać że sprzątają na bieżąco.", 0
"Ja pierdolę, czy tu nikt nigdy nie sprząta?", 1
"Najbardziej komfortowa publiczna toaleta, serio.", 0
"Nie wierzę, jebane gówno na desce, serio?", 1
"Nie spodziewałem się, że będzie tak dobrze, totalny sztos.", 0
"Jebana tragedia, jebie jakby ktoś tu zdechł!", 1
"Lśniąca podłoga, błyszczące krany – wow!", 0
"Kurwa, wszędzie sraka, kto tu, kurwa, srał?", 1
"Mega przypał, jak czysto!", 0
"Toaleta dla pojebanych, serio, dramat!", 1
"No powiem Ci, że ta kibelkowa strefa to złoto!", 0
"Jak można tak zjebać toaletę, jebane dno!", 1
"No powiem Ci, że ta kibelkowa strefa to złoto!", 0
"Jebana tragedia, jebie jakby ktoś tu zdechł!", 1
"Lśniąca podłoga, błyszczące krany – wow!", 0
"Jak można tak zjebać toaletę, jebane dno!", 1
"Nie spodziewałem się, że będzie tak dobrze, totalny sztos.", 0
"Kurwa, wszędzie sraka, kto tu, kurwa, srał?", 1
"Bez kolejek, wszystko w porządku, spoko miejsce.", 0
"Kibel jak z horroru, jebane średniowiecze!", 1
"Mega czysta toaleta, serio sztos!", 0
"Jak można tak zjebać toaletę, jebane dno!", 1
"Bez kolejek, wszystko w porządku, spoko miejsce.", 0
"Pierdolona katastrofa, lepiej nasrać w lesie!", 1
"Nie spodziewałem się, że będzie tak dobrze, totalny sztos.", 0
"Totalna porażka, jebane gówno na podłodze!", 1
"Nie spodziewałem się, że będzie tak dobrze, totalny sztos.", 0
"Toaleta dla pojebanych, serio, dramat!", 1
"Mega czysta toaleta, serio sztos!", 0
"Jak można tak zjebać toaletę, jebane dno!", 1
"Kibelek wygląda jak nowy, totalny luksus.", 0
"Toaleta dla pojebanych, serio, dramat!", 1
"Nie ma śladu po poprzednich użytkownikach, szanuję mocno!", 0
"Jak można tak zjebać toaletę, jebane dno!", 1
"Nie ma śladu po poprzednich użytkownikach, szanuję mocno!", 0
"Ja pierdolę, czy tu nikt nigdy nie sprząta?", 1
"Nie spodziewałem się, że będzie tak dobrze, totalny sztos.", 0
"Wchodzisz i jebie cię w twarz fala gówna!", 1
"Najbardziej komfortowa publiczna toaleta, serio.", 0
"Jak można tak zjebać toaletę, jebane dno!", 1
"Nie spodziewałem się takiej jakości, wow!", 0
"Jebana tragedia, jebie jakby ktoś tu zdechł!", 1
"No powiem Ci, że ta kibelkowa strefa to złoto!", 0
"Jebana tragedia, jebie jakby ktoś tu zdechł!", 1
"Kibelek wygląda jak nowy, totalny luksus.", 0
"Nie wierzę, jebane gówno na desce, serio?", 1
"Wszystko działa na czujniki, super nowoczesne.", 0
"Totalny burdel, jebane ściany obsikane na złoto!", 1
"Wszystko działa jak złoto, spłuczka chodzi jak w zegarku!", 0
"Kurwa, wszędzie sraka, kto tu, kurwa, srał?", 1
"Mega czysta toaleta, serio sztos!", 0
"Jebana tragedia, jebie jakby ktoś tu zdechł!", 1
"Toaleta wymiata, jest nawet ciepła woda, mega pozytyw!", 0
"No serio, jebany brak higieny, dramat na maxa!", 1
"Nawet muzyka w tle sprawia, że korzystanie jest przyjemne.", 0
"Totalna porażka, jebane gówno na podłodze!", 1
"Toaleta wymiata, jest nawet ciepła woda, mega pozytyw!", 0
"Mega syf, jebana melina, ściany upierdolone gównem!", 1
"Mega czysta toaleta, serio sztos!", 0
"Kibel jak z horroru, jebane średniowiecze!", 1
"Pachnie, lśni, czysto – nic dodać, nic ująć.", 0
"Kurwa, jebie tu jak z rynsztoka!", 1
"Toaleta wymiata, jest nawet ciepła woda, mega pozytyw!", 0
"Jebany dramat, kurwa, brak spłuczki i smród jak w oborze!", 1
"Wchodzisz i masz wrażenie, że to łazienka w pięciogwiazdkowym hotelu.", 0
"Pierdolona katastrofa, lepiej nasrać w lesie!", 1
"Obsługa robi robotę, widać że sprzątają na bieżąco.", 0
"Kibel jak z horroru, jebane średniowiecze!", 1
"Wchodzisz i czujesz zapach lawendy, super uczucie!", 0
"Ja pierdolę, czy tu nikt nigdy nie sprząta?", 1
"Toaleta wymiata, jest nawet ciepła woda, mega pozytyw!", 0
"Toaleta dla pojebanych, serio, dramat!", 1
"Wchodzisz i czujesz zapach lawendy, super uczucie!", 0
"Jebana toaleta dla trolli, pierdolony burdel!", 1
"Wszystko działa jak złoto, spłuczka chodzi jak w zegarku!", 0
"Smród na poziomie jebanego wysypiska!", 1
"Nawet muzyka w tle sprawia, że korzystanie jest przyjemne.", 0
"Pierdolona katastrofa, lepiej nasrać w lesie!", 1
"Toaleta sztosiwo, wchodzisz i czujesz się jak VIP.", 0
"Jak można tak zjebać toaletę, jebane dno!", 1
"Lśniąca podłoga, błyszczące krany – wow!", 0
"Smród na poziomie jebanego wysypiska!", 1
"Nie spodziewałem się, że będzie tak dobrze, totalny sztos.", 0
"Pierdolona katastrofa, lepiej nasrać w lesie!", 1
"No powiem Ci, że ta kibelkowa strefa to złoto!", 0
"Ja pierdolę, jebie tak, że aż oczy łzawią!", 1
"Nie ma śladu po poprzednich użytkownikach, szanuję mocno!", 0
"Toaleta dla pojebanych, serio, dramat!", 1
"Pachnie, lśni, czysto – nic dodać, nic ująć.", 0
"Totalna porażka, jebane gówno na podłodze!", 1
"Mega przypał, jak czysto!", 0
"Pierdolona katastrofa, lepiej nasrać w lesie!", 1
"Wchodzisz i czujesz zapach lawendy, super uczucie!", 0
"No serio, jebany brak higieny, dramat na maxa!", 1
"Nie ma śladu po poprzednich użytkownikach, szanuję mocno!", 0
"Totalna porażka, jebane gówno na podłodze!", 1
"Wchodzisz i masz wrażenie, że to łazienka w pięciogwiazdkowym hotelu.", 0
"Jebany dramat, kurwa, brak spłuczki i smród jak w oborze!", 1
"Super zapach, jak w jakimś luksusowym hotelu!", 0
"Mega syf, jebana melina, ściany upierdolone gównem!", 1
"Najbardziej komfortowa publiczna toaleta, serio.", 0
"Jebany dramat, kurwa, brak spłuczki i smród jak w oborze!", 1
"Wszystko działa na czujniki, super nowoczesne.", 0
"Ja pierdolę, jebie tak, że aż oczy łzawią!", 1
"Mega przypał, jak czysto!", 0
"Jak można tak zjebać toaletę, jebane dno!", 1
"Nie ma śladu po poprzednich użytkownikach, szanuję mocno!", 0
"Jebana tragedia, jebie jakby ktoś tu zdechł!", 1
"Lśniąca podłoga, błyszczące krany – wow!", 0
"Jebany dramat, kurwa, brak spłuczki i smród jak w oborze!", 1
"Wszystko działa jak złoto, spłuczka chodzi jak w zegarku!", 0
"Nie wierzę, jebane gówno na desce, serio?", 1
"Pachnie, lśni, czysto – nic dodać, nic ująć.", 0
"Jebany dramat, kurwa, brak spłuczki i smród jak w oborze!", 1
"Mega czysta toaleta, serio sztos!", 0
"Jebana tragedia, jebie jakby ktoś tu zdechł!", 1
"Wszystko git, pachnie ładnie i jest mydło, mega!", 0
"Nie wierzę, jebane gówno na desce, serio?", 1
"Kibelek wygląda jak nowy, totalny luksus.", 0
"Jebana toaleta dla trolli, pierdolony burdel!", 1
"Bez kolejek, wszystko w porządku, spoko miejsce.", 0
"Czysty pierdolony horror, jebana jaskinia gówna!", 1
"Toaleta wymiata, jest nawet ciepła woda, mega pozytyw!", 0
"Smród na poziomie jebanego wysypiska!", 1
"Wchodzisz i masz wrażenie, że to łazienka w pięciogwiazdkowym hotelu.", 0
"Mega syf, jebana melina, ściany upierdolone gównem!", 1
"Nie spodziewałem się takiej jakości, wow!", 0
"Jebana toaleta dla trolli, pierdolony burdel!", 1
"Super zapach, jak w jakimś luksusowym hotelu!", 0
"Mega syf, jebana melina, ściany upierdolone gównem!", 1
"Najlepsza toaleta, w jakiej byłem, zero przypału!", 0
"Jebany dramat, kurwa, brak spłuczki i smród jak w oborze!", 1
"Najbardziej komfortowa publiczna toaleta, serio.", 0
"Ja pierdolę, czy tu nikt nigdy nie sprząta?", 1
"Najbardziej komfortowa publiczna toaleta, serio.", 0
"Obsługa ma to w dupie, jebane olewactwo!", 1
"Nie ma śladu po poprzednich użytkownikach, szanuję mocno!", 0
"Kurwa, wszędzie sraka, kto tu, kurwa, srał?", 1
"Obsługa robi robotę, widać że sprzątają na bieżąco.", 0
"Nie da się tu oddychać, jebany gaz bojowy!", 1
"Toaleta wygląda lepiej niż w większości mieszkań.", 0
"Wchodzisz i jebie cię w twarz fala gówna!", 1
"Obsługa robi robotę, widać że sprzątają na bieżąco.", 0
"Jebana tragedia, jebie jakby ktoś tu zdechł!", 1
"Nie spodziewałem się takiej jakości, wow!", 0
"Kibel jak z horroru, jebane średniowiecze!", 1
"Lśniąca podłoga, błyszczące krany – wow!", 0
"Nie da się tu oddychać, jebany gaz bojowy!", 1
"No powiem Ci, że ta kibelkowa strefa to złoto!", 0
"Czysty pierdolony horror, jebana jaskinia gówna!", 1
